aa: aa
abb: abb
able: able
abnormal: abnormal
absence: absence
absent: absent
absolute: absolute
abstract: abstract
access: access
accomplishment: accomplishment
accord: according
accumulate: accumulate
achievement: achievement
acquire: acquire
acquisition: acquisition
act: act
actual: actual
acute: acute
ad: ad
add: add added
addition: addition
address: address
adequate: adequate
adequately: adequately
advanced: advanced
ae: ae
aer: aer
affect: affect
afterward: afterward
age: age
agree: agree agreed
agreement: agreement
aid: aid
aim: aim
ait: ait
al: al
alert: alert
alone: alone
also: also
although: although
always: always
ami: ami
among: among
amount: amount
analysis: analyses analysis
annual: annual
anxiety: anxiety
ape: ape
apply: applied apply
appraisal: appraisal
approach: approach
archive: archive
area: area
arousal: arousal
article: article
assess: assess
assessment: assessment
assignment: assignment
associate: associated
association: association
assume: assumed
attempt: attempt
attend: attend
attribution: attribution
automatic: automatic
available: available
average: average
avoid: avoid
avoidance: avoidance
aware: aware
basic: basic
beck: beck
become: become
becomes: becomes
behavior: behavior
behavioral: behavioral
behaviour: behaviour
belief: belief
board: board
bring: bring
brought: brought
bulletin: bulletin
burden: burden
burnout: burnout
calculate: calculated
capacity: capacity
carry: carried
cause: causing
ce: ce
certain: certain
change: change
characteristic: characteristic
chart: chart
china: china
choice: choice
cite: cite
classification: classification
classify: classified
clear: clear
clinical: clinical
code: code
cognition: cognition
cognitive: cognitive
college: college
combination: combination
combine: combined combining
come: come
committee: committee
common: commons
comparative: comparative
compare: compare
comparison: comparison
compassion: compassion
complete: complete
completion: completion
compound: compound
concept: concept
concern: concerning
conclusion: conclusion
confirm: confirmed
conflict: conflict
confound: confounding
connect: connected
consent: consent
consequently: consequently
consider: considered considering
consideration: consideration
construct: construct
construction: construction
contact: contact
content: content contents
continuance: continuance
continuation: continuation
continue: continue
continued: continued
control: control
convenience: convenience
cop: coping
copyright: copyright
correct: correct
correction: correction
correlation: correlation
cost: cost
could: could
course: course
covariance: covariance
create: create
creative: creative
criticism: criticism
current: current
customer: customer
daily: daily
data: data
day: days
deal: dealing
death: death
declare: declare
decrease: decrease
deeply: deeply
define: defined
degree: degree
demonstrate: demonstrate
department: department
dependence: dependence
dependent: dependent
depersonalization: depersonalization
depression: depression
depressive: depressive
describe: describe
design: design designed
desire: desire
detection: detection
determine: determined
develop: develop
development: development
die: dying
difference: difference
different: different
direct: direct
directly: directly
disagree: disagree
disclaimer: disclaimer
discontinue: discontinue
discussion: discussion
distaste: distaste
distort: distorted
distortion: distortion
