aa: aa
abb: abb
absorption: absorption
abstract: abstract
access: access
act: act
active: active
acute: acute
ad: ad
add: add added
address: address
advancement: advancement
ae: ae
aer: aer
affected: affected
aid: aid
aim: aim
ait: ait
al: al
alert: alert
along: along
alpha: alpha
also: also
although: although
ami: ami
analgesia: analgesia
analgesic: analgesic
anesthesia: anesthesia
anesthetic: anesthetic
another: another
anterior: anterior
anteriorly: anteriorly
ape: ape
appearance: appearance
approach: approach
approval: approval
approximately: approximately
archive: archive
area: area
article: article
articular: articular
aseptically: aseptically
aspirate: aspirate
assay: assay
assess: assess
assessment: assessment
associate: associated
attribution: attribution
augment: augment
auriculotemporal: auriculotemporal
available: available
average: average
axillary: axillary
back: back
bad: worst
base: based
biochemical: biochemical
block: block
blockage: blockage
board: board
bony: bony
caliber: caliber
canal: canal
carpal: carpal
ce: ce
change: change
chief: chief
chronic: chronic
cite: cite
class: class
clinic: clinic
clinical: clinical
close: close
collect: collected
commercially: commercially
committee: committee
common: common commons
company: company
comparative: comparative
comparison: comparison
compartment: compartment
complain: complain
complete: complete
concent: concent
condition: condition
condylar: condylar
condyle: condyle
consider: considered
contact: contact
copyright: copyright
could: could
create: create
creative: creative
current: current
customer: customer
daily: daily
day: days
de: de
declare: declare
decrease: decrease
define: defined
degenerative: degenerative
density: density
dental: dental
dentistry: dentistry
department: department
derangement: derangement
detect: detect
detection: detection
determine: determined
diagnosis: diagnosis
differentiation: differentiation
digital: digital
disc: disc
disclaimer: disclaimer
discussion: discussion
disease: disease
disk: disk
displace: displace
displacement: displacement
disposable: disposable
divide: divided
do: done
downward: downward
draw: drawing
drug: drug
due: due
duration: duration
early: early
editorial: editorial
effect: effect effects
effective: effective
efficacy: efficacy
either: either
eminence: eminence
endothelial: endothelial
enlarge: enlarged
equal: equal
especially: especially
establish: establish
ethic: ethics
ethical: ethical
evaluate: evaluate
evaluation: evaluation
ever: ever
every: every
evolution: evolution
examination: examination
excursive: excursive
experienced: experienced
expression: expression
external: external
faculty: faculty
family: family
figure: figure
file: file
finally: finally
finger: finger
fluid: fluid
follow: follow following
former: former
forty: forty
forward: forward
found: found
free: free
frequently: frequently
front: front
function: function
generally: generally
gently: gently
group: group
guideline: guideline
head: head
health: health
heparin: heparin
herniated: herniated
high: high higher
