aa: aa
abb: abb
able: able
abstract: abstract
abundance: abundance
abundant: abundant
academic: academic
academician: academician
academy: academy
access: access
accord: according
accretionary: accretionary
accumulation: accumulation
act: act
activity: activity
actual: actual
actually: actually
ad: ad
add: add
address: address
admixture: admixture
ae: ae
aer: aer
age: age
aid: aid
aim: aim
ait: ait
al: al
alert: alert
algae: algae
algal: algal
along: along
already: already
also: also
alternate: alternate
alternation: alternation
although: although
ami: ami
among: among
amorphous: amorphous
amphibolite: amphibolite
ancient: ancient
andesite: andesite
anew: anew
angular: angular
ape: ape
appear: appear
appearance: appearance
arc: arc
archive: archive
area: area
arenaceous: arenaceous
argillaceous: argillaceous
arkosic: arkosic
article: article
ascend: ascending
assemblage: assemblage
associate: associated
atlas: atlas
atmosphere: atmosphere
attribution: attribution
average: average
ay: ay
background: background
bacteria: bacteria
bacterial: bacterial
balance: balance
basal: basal
basalt: basalt
basaltic: basaltic
base: base based
basement: basement
basin: basin
bearing: bearing
bed: bed bedded
begin: beginning
belonging: belonging
besides: besides
biologic: biologic
biological: biological
biostratigraphy: biostratigraphy
biota: biota
black: black
block: block
board: board
border: border
bottom: bottom
boundary: boundary
braconid: braconid
break: break breaking
breccia: breccia
broad: broad
brown: brown
bulbous: bulbous
burgess: burgess
calcareous: calcareous
calcify: calcified
canada: canada
carbonate: carbonate
carboniferous: carboniferous
ce: ce
change: change
characteristic: characteristic
chemical: chemical
chemistry: chemistry
chert: chert
chiefly: chiefly
china: china
circulation: circulation
cite: cite
clastic: clastic
clay: clay
clear: clear
clearly: clearly
climate: climate
close: close
coast: coast
collectively: collectively
color: color
column: column
combine: combined
common: common commons
community: community
complex: complex
compose: compose
comprehensive: comprehensive
comprise: comprised
concentration: concentration
concern: concerning
conclusion: conclusion
concrete: concrete
conference: conference
confirm: confirmed
conformably: conformably
connect: connected
consequent: consequent
consider: considered
contact: contact
contain: contain
contemporaneous: contemporaneous
contemporary: contemporary
content: content
context: context
continent: continent
continental: continental
cook: cook
copyright: copyright
creative: creative
crystalline: crystalline
customer: customer
cut: cutting
dark: dark
data: data
declare: declare
deep: deep
deglaciation: deglaciation
dependent: dependent
deposit: deposit
deposition: deposition
depositional: depositional
derive: derived
detailed: detailed
detection: detection
determinative: determinative
development: development
different: different
disclaimer: disclaimer
discover: discovered
discovery: discovery
discussion: discussion
distinctive: distinctive
distinctly: distinctly
distribution: distribution
diverse: diverse
diversification: diversification
diversified: diversified
divide: divided
