aa: aa
abb: abb
able: able
absence: absence
absolute: absolute
abstract: abstract
abstraction: abstraction
abyss: abyss
acceptance: acceptance
access: access
accommodate: accommodate
accomplishment: accomplishment
accord: according
acquirable: acquirable
act: act
action: action
activate: activate
active: active
ad: ad
add: add added
addition: addition
address: address
adolescence: adolescence
adolescent: adolescent
advanced: advanced
advantage: advantage
ae: ae
aegis: aegis
aer: aer
age: age
agent: agent
aggressive: aggressive
aggressiveness: aggressiveness
aid: aid
aim: aim
aimlessly: aimlessly
ait: ait
al: al
alert: alert
alienation: alienation
alliance: alliance
allocate: allocate
alone: alone
along: along
already: already
also: also
alterity: alterity
although: although
always: always
ami: ami
among: among
ana: ana
analysis: analyses analysis
analyze: analyze
anger: anger
anguish: anguish
animality: animality
animate: animating
annihilation: annihilation
anomaly: anomaly
anonymous: anonymous
another: another
ape: ape
appeal: appeal
application: application
appointment: appointment
apprehend: apprehend
apprehension: apprehension
approach: approach approaching
arc: arc
archive: archive
article: article
articulate: articulate articulated
articulation: articulation
aspect: aspect
assertion: assertion
assign: assign
associate: associated
attempt: attempt
attention: attention
attribution: attribution
author: author
autistic: autistic
autonomous: autonomous
autonomy: autonomy
baby: baby
back: back
background: background
bad: worst
barrier: barrier
base: base based
basic: basic
become: become
becomes: becomes
behavior: behavior
behind: behind
believe: believe believing
belonging: belonging
besides: besides
beyond: beyond
bias: bias
bind: bind
birth: birth
board: board
body: body
bond: bond
bonding: bonding
book: book
brand: brand
brazil: brazil
building: building
buoyancy: buoyancy
call: call
capable: capable
capital: capital
capitalism: capitalism
capitalist: capitalist
care: care
career: career
case: case
castration: castration
category: category
catholic: catholic
causal: causal
causality: causality
cause: cause
ce: ce
center: center
century: century
certain: certain
certainly: certainly
challenge: challenge
change: change
character: character
characteristic: characteristic
child: child
childhood: childhood
choice: choice
circuit: circuit
citation: citation
cite: cite
civil: civil
civilization: civilization
clear: clear
clearer: clearer
clinic: clinic
clinical: clinical
clothing: clothing
clue: clue
college: college
come: come comes
commit: commit
common: commons
commonly: commonly
communicative: communicative
community: community
company: company
complete: complete
complex: complex
complexity: complexity
composition: composition
comprehensive: comprehensive
compulsive: compulsive
concept: concept
conceptual: conceptual
concerned: concerned
conclude: conclude concluding
conclusion: conclusion
concrete: concrete
condition: condition
configuration: configuration
configure: configure
confirm: confirmed
conflict: conflict
conflictive: conflictive
conjugal: conjugal
connect: connected
connection: connection
conscience: conscience
consciousness: consciousness
