aa: aa
abb: abb
abstract: abstract
abundance: abundance
abundant: abundant
abundantly: abundantly
academy: academy
access: access
accord: according
accounting: accounting
achieve: achieve
acidic: acidic
acidity: acidity
act: act
acta: acta
activity: activity
ad: ad
add: add
addition: addition
address: address
ae: ae
aer: aer
affected: affected
agency: agency
aid: aid
aim: aim
ait: ait
al: al
alert: alert
almost: almost
along: along
alpine: alpine
also: also
although: although
altitude: altitude
altitudinal: altitudinal
ambient: ambient
ami: ami
amidst: amidst
amoeba: amoebae
among: among
amount: amount
analysis: analyses analysis
animal: animal
annual: annual
another: another
antarctic: antarctic
antibiotic: antibiotic
apart: apart
ape: ape
application: application
apply: applied
approximately: approximately
archive: archive
area: area
arrangement: arrangement
article: article
assemblage: assemblage
assess: assessed
assessment: assessment
associate: associated
association: association
attribution: attribution
ax: axes
axis: axis
bacteria: bacteria
bacterial: bacterial
bag: bag
bark: bark
base: based
basis: basis
begin: beginning
bend: bend
berg: berg
berlin: berlin
best: best
big: big
biogeography: biogeography
biological: biological
biologically: biologically
biology: biology
biota: biota
biotic: biotic
biotope: biotope
board: board
botany: botany
bottom: bottom
box: box
briefly: briefly
broad: broad
broadleaf: broadleaf
bulletin: bulletin
calculate: calculate calculated
canopy: canopy
carbohydrate: carbohydrate
carbon: carbon
carry: carried
ce: ce
cedar: cedar
cellulose: cellulose
certain: certain
chain: chain
chamber: chamber
chao: chao
character: character
chemical: chemical
chemically: chemically
chosen: chosen
cite: cite
city: city
class: classes
classification: classification
climate: climate
closely: closely
coefficient: coefficient
collect: collected
collection: collection
collins: collins
common: common commons
commonly: commonly
communication: communication
compact: compact
comparison: comparison
complete: complete
complex: complex
component: component
composition: composition
computer: computer
concentration: concentration
conclusion: conclusion
condition: condition
confirm: confirmed
coniferous: coniferous
consider: considered
contact: contact
container: container
copyright: copyright
correlate: correlated
correlation: correlation
correspond: correspond
corroborate: corroborate
costa: costa
cover: cover
coverage: coverage
creative: creative
crown: crown
current: current
customer: customer
cycling: cycling
data: data
day: day
dead: dead
deciduous: deciduous
declare: declare
decompose: decomposed
decomposition: decomposition
deduce: deduce
defoliate: defoliated
defoliation: defoliation
densely: densely
depend: depend depending
deposition: deposition
derive: derived
desert: desert
design: design
despite: despite
detection: detection
determination: determination
determine: determine
detritus: detritus
development: development
diagram: diagram
diameter: diameter
didymium: didymium
differ: differ
difference: difference
different: different
dimensional: dimensional
direction: direction
disclaimer: disclaimer
discussion: discussion
dispersal: dispersal
disperse: dispersed
distance: distance
distinct: distinct
distinctly: distinctly
distribute: distributed
distribution: distribution
distributional: distributional
diverse: diverse
diversification: diversification
diversity: diversity
divide: divided
dominant: dominant
dominate: dominated
dry: dried dry
dung: dung
early: early
ecological: ecological
ecology: ecology
editorial: editorial
education: education
effect: effect effects
efficacy: efficacy
either: either
elevation: elevation
end: end
entire: entire
environment: environment
environmental: environmental
enzymatic: enzymatic
ephemeral: ephemeral
estimation: estimation
estimator: estimator
ethic: ethics
evaluate: evaluate
even: even
evenly: evenly
evenness: evenness
evergreen: evergreen
exactitude: exactitude
examination: examination
example: example
excel: excel
exiguous: exiguous
existence: existence
expect: expect
experimental: experimental
express: express
extend: extended
eye: eye
factor: factor
favor: favored
favorable: favorable
