aa: aa
abb: abb
abdominal: abdominal
abnormal: abnormal
abstract: abstract
access: access
accord: according
act: act
action: action
activity: activity
actual: actual
ad: ad
add: add
addition: addition
additional: additional
address: address
adequate: adequate
admit: admitted
adolescence: adolescence
adolescent: adolescent
adult: adult
adverse: adverse
ae: ae
aer: aer
affect: affect
age: age aged
agree: agreed
ahead: ahead
aid: aid
aim: aim
ait: ait
al: al
alert: alert
almost: almost
already: already
also: also
alternate: alternating
although: although
ami: ami
among: among
analysis: analysis
anomaly: anomaly
anthropometric: anthropometric
anti: anti
ape: ape
appear: appear
appearance: appearance
appropriate: appropriate
archive: archive
area: area
art: art
arterial: arterial
article: article
askari: askari
assessment: assessment
associate: associated
association: association
atheromatous: atheromatous
atherosclerosis: atherosclerosis
attempt: attempt
attribution: attribution
autopsy: autopsy
avoid: avoid
balance: balanced
behavior: behavior
besides: besides
biophysical: biophysical
blood: blood
board: board
body: body
brazil: brazil
breakfast: breakfast
brewer: brewer
capable: capable
cardiovascular: cardiovascular
care: care
carrier: carrier
cause: cause
ce: ce
central: central
centripetal: centripetal
century: century
certain: certain
change: change
childhood: childhood
china: china
cholesterol: cholesterol
chronic: chronic
circulation: circulation
circumference: circumference
cite: cite
classification: classification
clinic: clinic
clinical: clinical
cluster: clustering
cohort: cohort
combine: combining
committee: committee
common: commons
complete: complete
complicate: complicated
concept: concept
concern: concern
concerned: concerned
conclude: conclude
conduct: conduct
conference: conference
confluence: confluence
consensus: consensus
consider: considered
consultation: consultation
contact: contact
continued: continued
contrast: contrast
control: control
controversy: controversy
conventional: conventional
copyright: copyright
coronary: coronary
costa: costa
could: could
creative: creative
criterion: criteria
cross: cross
crude: crude
cure: cure
current: current
customer: customer
cut: cut
cutoff: cutoff
daily: daily
data: data
day: days
de: de
deadly: deadly
deal: dealing
debate: debate
declare: declare
define: defined
definition: definition
demonstrate: demonstrate
depend: depending
design: design designed
despite: despite
detection: detection
determination: determination
development: development
diabetes: diabetes
diabetic: diabetic
diagnosis: diagnoses diagnosis
