aa: aa
abb: abb
ability: ability
abroad: abroad
absolute: absolute
abstract: abstract
abundant: abundant
access: access
accession: accession
accord: according
act: act
action: action
activity: activity
ad: ad
add: add added
addition: addition
address: address
adjust: adjust
adopt: adopted
advantage: advantage
adversely: adversely
ae: ae
aer: aer
affect: affect
affected: affected
agricultural: agricultural
agriculture: agriculture
aid: aid
aim: aim
ait: ait
al: al
albeit: albeit
alert: alert
alliance: alliance
allocation: allocation
almanac: almanac
almost: almost
already: already
also: also
although: although
ami: ami
among: among
amount: amount
analysis: analyses analysis
analyze: analyze
annual: annual
anonymous: anonymous
another: another
ape: ape
approach: approach
appropriate: appropriate
archive: archive
area: area
article: article
artificial: artificial
assess: assess
associate: associated
assume: assuming
assumption: assumption
attempt: attempt
attractiveness: attractiveness
attribution: attribution
august: august
available: available
average: average
background: background
bad: worse
balance: balance
bank: bank
base: base based
basic: basic
basis: basis
become: become
benefit: benefit
board: board
brazil: brazil
brown: brown
build: build
built: built
business: business
calculate: calculated
calculation: calculation
canada: canada
capacity: capacity
case: case
cause: cause
ce: ce
center: center
central: central
change: change
charge: charge
cheap: cheap
chile: chile
china: china
chine: chine
choice: choice
chosen: chosen
cite: cite
clear: clear
climate: climate
close: close
closer: closer
commercial: commercial
commission: commission
commodity: commodity
common: commons
company: company
comparative: comparative
comparison: comparison
compete: compete
competition: competition
competitive: competitive
competitiveness: competitiveness
competitor: competitor
complementary: complementary
complex: complex
concentration: concentration
concern: concerning
conclude: conclude
conclusion: conclusion
confirm: confirm confirming
conflict: conflicting
coniferous: coniferous
consciousness: consciousness
consequent: consequent
consider: consider considered
constant: constant
construction: construction
constructive: constructive
consult: consulting
consumer: consumer
consumption: consumption
contact: contact
conte: conte
content: content
contrast: contrast
contribute: contribute
contribution: contribution
control: control
convention: convention
conversely: conversely
copyright: copyright
corporate: corporate
correlate: correlated
corroborate: corroborate
cost: cost
could: could
country: country
crash: crash
creative: creative
crisis: crisis
crucial: crucial
cubic: cubic
culture: culture
cum: cum
curve: curve
customer: customer
data: data
deal: deal
decade: decade
declare: declare
decline: decline declined
decrease: decrease decreasing
deep: deep
degree: degree
demand: demand
department: department
depend: depending
dependency: dependency
dependent: dependent
descriptive: descriptive
detailed: detailed
detection: detection
determination: determination
determine: determined
development: development
different: different
differentiate: differentiate
difficult: difficult
direct: direct
direction: direction
discern: discerning
disclaimer: disclaimer
discussion: discussion
disproportionately: disproportionately
distribution: distribution
divide: divided
do: done
domestic: domestic
domestically: domestically
dover: dover
drawn: drawn
drive: driving
due: due
eastern: eastern
economic: economic
economics: economics
economy: economy
editorial: editorial
education: education
effect: effect effects
efficiency: efficiency
either: either
elucidate: elucidate
emerge: emerge
emergence: emergence
enable: enable
energy: energy
environment: environment
environmental: environmental
equal: equal
equilibrium: equilibrium
especially: especially
essential: essential
estimate: estimate
ethic: ethics
eu: eu
evaluation: evaluation
even: even
every: every
evidence: evidence
examine: examining
example: example
exceed: exceed
except: except
exchange: exchange
expand: expand
expense: expense
