aa: aa
abb: abb
able: able
abstract: abstract
access: access
accord: according
act: act
acta: acta
activity: activity
actual: actual
actually: actually
ad: ad
add: add
address: address
adequate: adequate
advanced: advanced
advantage: advantage
ae: ae
aer: aer
agarwal: agarwal
age: aging
aggregation: aggregation
aid: aid
aim: aim
ait: ait
alert: alert
algorithm: algorithm
allow: allow
also: also
alteration: alteration
although: although
ami: ami
analysis: analysis
analyze: analyze
anyone: anyone
anyplace: anyplace
anything: anything
ape: ape
application: application
apply: applied apply
approach: approach
appropriate: appropriate
architecture: architecture
archive: archive
area: area
around: around
article: article
ashraf: ashraf
assessment: assessment
asset: assets
association: association
asymmetric: asymmetric
attach: attached
attack: attack
attribution: attribution
authentication: authentication
authorize: authorized
auto: auto
automatically: automatically
available: available
ban: ban
base: based
become: become becoming
becomes: becomes
benefit: benefit
big: big
billion: billion
bit: bit
block: block
blood: blood
board: board
body: body
boston: boston
break: break
briefly: briefly
broad: broad
broadly: broadly
brought: brought
brute: brute
call: call
capture: capture
care: care
ce: ce
chipper: chipper
chronic: chronic
cipher: cipher
cite: cite
classification: classification
cloud: cloud
code: code
collect: collect collected
combination: combination
combine: combining
comma: comma
common: common commons
communication: communication
community: community
comparative: comparative
compensate: compensating
complex: complex
complexity: complexity
comprehensive: comprehensive
computational: computational
computer: computer
concept: concept
conclusion: conclusion
conference: conference
connect: connected
connectivity: connectivity
consensus: consensus
consider: considered considering
consumer: consumer
contact: contact
content: content
control: control
convenience: convenience
convert: converted
copyright: copyright
correct: correcting
cost: cost
could: could
create: create
creative: creative
critical: critical
cryptographic: cryptographic
cryptography: cryptography
customer: customer
data: data
day: day
declare: declare
decline: decline
define: defined
department: department
deployment: deployment
design: design
detection: detection
diabetes: diabetes
diabetic: diabetic
different: different
digest: digest
digital: digital
digitally: digitally
disclaimer: disclaimer
disease: disease
doctor: doctor
due: due
dynamic: dynamic
easy: easy
editorial: editorial
effect: effect
efficiency: efficiency
electrical: electrical
electronics: electronics
emergency: emergency
enable: enable
encrypt: encrypt
encryption: encryption
end: end
engineering: engineering
entry: entry
environment: environment
equipment: equipment
especially: especially
ethic: ethics
ethical: ethical
ever: ever
every: every
everyone: everyone
everything: everything
except: except
exchange: exchange
exhibit: exhibit
factorization: factorization
faculty: faculty
faster: faster
fetch: fetch
field: field
figure: figure
file: file
finger: finger
first: first
fix: fixed
follow: follow following
force: force
free: free
frequently: frequently
function: function
fundamental: fundamental
future: future
