aa: aa
abb: abb
ability: ability
abstract: abstract
academic: academic
access: access
accord: according
act: act
ad: ad
adaptive: adaptive
add: add added
address: address
adopt: adopted
ae: ae
aer: aer
affect: affect
ahead: ahead
aid: aid
aim: aim
ait: ait
al: al
alert: alert
algorithm: algorithm
alpha: alpha
also: also
alternative: alternative
ami: ami
among: among
analysis: analyses analysis
analyze: analyze
ape: ape
application: application
approach: approach
ar: ar
archive: archive
arithmetic: arithmetic
article: article
asset: asset assets
attribution: attribution
axle: axle
bad: worst
baker: baker
bank: bank
base: based
basic: basic
basis: basis
behavior: behavior
behavioral: behavioral
belief: belief
best: best
bias: bias
big: big
board: board
brown: brown
bull: bull
business: business
calculate: calculated
calculation: calculation
capability: capability
capacity: capacity
causality: causality
cause: cause
ce: ce
chain: chain
china: china
circulative: circulative
cite: cite
cliff: cliff
coefficient: coefficient
coincident: coincident
come: coming
common: commons
comparison: comparison
component: component
comprehensive: comprehensive
comprehensively: comprehensively
concept: concept
conclude: concluding
conditional: conditional
confusion: confusion
consideration: consideration
contact: contact
contagion: contagion
control: control
copyright: copyright
core: core
correlation: correlation
could: could
creative: creative
crisis: crisis
crude: crude
cubic: cubic
customer: customer
cycle: cycle
data: data
day: day days
de: de
decision: decision
declare: declare
decompose: decompose
decomposition: decomposition
defect: defect
depict: depict
describe: describe
detection: detection
deviation: deviation
different: different
differential: differential
diffusion: diffusion
direction: direction
disclaimer: disclaimer
discount: discount
disturbance: disturbance
dose: dose
dot: dotted
dow: dow
dynamic: dynamic dynamics
econometrics: econometrics
economic: economic
economics: economics
economy: economy
editorial: editorial
effect: effect
effective: effective
effectively: effectively
empirical: empirical
energy: energy
engine: engine
engineering: engineering
ensemble: ensemble
equal: equal
equation: equation
establish: established
estimation: estimation
ethic: ethics
even: even
evidence: evidence
evolution: evolution
example: example
exchange: exchange
expansion: expansion
expectation: expectation
explore: explore
express: expressed
extract: extract
extraction: extraction
factor: factor
fang: fang
fear: fear
feature: feature
federal: federal
feedback: feedback
field: field
figure: figure
file: file
fill: fill
final: final
finally: finally
finance: finance
financial: financial
first: first
firstly: firstly
fisher: fisher
fluctuation: fluctuation
follow: follow following
form: form formed
forward: forward
found: found
foundation: foundation
free: free
frequency: frequency
frequently: frequently
fund: fund
fundamental: fundamental
future: future
general: general
gold: gold
good: good
granger: granger
grant: grant
great: great greater
greatly: greatly
greed: greed
growth: growth
guideline: guideline
health: health
herd: herd herding
high: high higher highest
history: history
hold: holding
home: home
however: however
hung: hung
hypothesis: hypothesis
idea: idea
identification: identification
important: important
increase: increase
increment: increment
index: index indexing
indicator: indicator
individual: individual
influence: influence
information: information
integration: integration
interest: interest interesting
international: international
interpolation: interpolation
intrinsic: intrinsic
introduction: introduction
investigation: investigation
investment: investment
investor: investor
irrational: irrational
irrationality: irrationality
issue: issue
item: item
iteration: iteration
journal: journal
key: key
lag: lag
lai: lai
latent: latent
lead: lead leading
learn: learning
left: left
level: level
library: library
license: license licensed
likelihood: likelihood
limited: limited
line: line
