aa: aa
abb: abb
ability: ability
abnormal: abnormal
absent: absent
abstract: abstract
access: access
accord: according
accurate: accurate
acoustic: acoustic
acquire: acquired
act: act
acute: acute
ad: ad
add: add
additive: additive
address: address
adequate: adequate
ae: ae
aer: aer
affect: affect
affected: affected
age: age aging
aid: aid
aim: aim
air: air
ait: ait
alarm: alarming
alert: alert
also: also
although: although
ami: ami
among: among
amplification: amplification
analysis: analysis
antenatal: antenatal
antiviral: antiviral
ape: ape
archive: archive
around: around
article: article
assess: assess
assessment: assessment
attend: attend
attribution: attribution
audiogram: audiogram
audiometer: audiometer
audiometry: audiometry
auditory: auditory
aural: aural
available: available
babu: babu
base: based
belong: belong
bilateral: bilateral
birth: birth
board: board
boilermaker: boilermaker
bone: bone
burden: burden
calibration: calibration
catarrh: catarrh
cause: cause
ce: ce
census: census
central: central
chronic: chronic
circulatory: circulatory
cite: cite
classification: classification
classify: classified
clearance: clearance
cochlea: cochlea
cochlear: cochlear
cognitive: cognitive
college: college
common: common commons
commonly: commonly
communication: communication
completely: completely
conclusion: conclusion
concurrent: concurrent
conduction: conduction
conductive: conductive
confirm: confirmed
congenital: congenital
consider: considered
consultation: consultation
contact: contact
contiguous: contiguous
control: control
copyright: copyright
corrective: corrective
cost: cost
could: could
country: country
creative: creative
culprit: culprit
customer: customer
da: da
damage: damage
data: data
day: days
deafness: deafness
declare: declare
defective: defective
deficit: deficit
define: defined
degree: degree
delicate: delicate
dementia: dementia
department: department
detailed: detailed
detection: detection
devastate: devastating
development: development
diagnosis: diagnosis
diagnostic: diagnostic
different: different
disability: disability
disclaimer: disclaimer
discussion: discussion
disease: disease
disorder: disorder
distribute: distributed
distribution: distribution
do: done
due: due
dysfunction: dysfunction
ear: ear
early: early
east: east
easy: easy
editorial: editorial
education: education
educational: educational
effect: effect
effective: effective
effusion: effusion
elderly: elderly
emission: emission
entry: entry
epidemiology: epidemiology
equally: equally
especially: especially
essential: essential
establish: establish
ethic: ethics
etiology: etiology
evaluation: evaluation
evenly: evenly
examination: examination
excessive: excessive
exposure: exposure
external: external
family: family
female: female
file: file
first: first
focus: foci
follow: follow
form: form
formal: formal
found: found
frank: frank
free: free
frequency: frequency
frequently: frequently
function: function
ganglion: ganglia
glue: glue
gold: gold
graph: graph
great: greater
grommet: grommet
group: group
guideline: guideline
hair: hair
handicap: handicap
hard: hard
head: head
health: health
hearing: hearing
help: help
hence: hence
high: higher
history: history
home: home
identification: identification
identify: identify
idiopathic: idiopathic
illiteracy: illiteracy
immune: immune
immunologic: immunologic
impairment: impairment
implant: implant
important: important
improve: improve
improvement: improvement
inability: inability
incidence: incidence
increase: increasing
index: indexing
induced: induced
infection: infection
information: information
initially: initially
inner: inner
input: input
insertion: insertion
institute: institute
institution: institution
institutional: institutional
interest: interest
international: international
intervention: intervention
introduction: introduction
inversely: inversely
investigation: investigation
invisible: invisible
involve: involved
iso: iso
isolation: isolation
issue: issue
joint: joint
journal: journal
language: language
later: later
least: least
lesion: lesion
less: less
level: level
